arquivo_origem,link_atual,tipo_de_destino,destino_sugerido,confianca_sugestao,motivo,acao_recomendada
blog/airbnb-ou-aluguel-anual-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/airbnb-vs-booking-litoral-sp.html,../education/formacoes/locacao-temporada-administracao.html,interno_relativo,education/formacoes/locacao-temporada-administracao.html,ALTA,destino existe,manter
blog/alta-temporada-2026-imobiliaria-litoral.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/alta-temporada-2026-imobiliaria-litoral.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/alta-temporada-2026-imobiliaria-litoral.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/alta-temporada-2026-imobiliaria-litoral.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/alta-temporada-2026-imobiliaria-litoral.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/alta-temporada-litoral-checklist-corretores-2026-07-25.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/alta-temporada-litoral-checklist-corretores-2026-07-25.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/alta-temporada-litoral-checklist-corretores-2026-07-25.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/alta-temporada-litoral-checklist-corretores-2026-07-25.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/alta-temporada-litoral-checklist-corretores-2026-07-25.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/alugar-apartamento-verao-santos-em-santos-2026-07-13.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/alugar-apartamento-verao-santos-em-santos-2026-07-13.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/alugar-apartamento-verao-santos-em-santos-2026-07-13.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/alugar-apartamento-verao-santos-em-santos-2026-07-13.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/alugar-apartamento-verao-santos-em-santos-2026-07-13.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/alugar-imovel-litoral-2026.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/alugar-imovel-litoral-2026.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/alugar-imovel-litoral-2026.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/alugar-imovel-litoral-2026.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/alugar-imovel-litoral-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/alugar-imovel-temporada-guia-proprietario-litoral-2026.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/alugar-imovel-temporada-guia-proprietario-litoral-2026.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/alugar-imovel-temporada-guia-proprietario-litoral-2026.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/alugar-imovel-temporada-guia-proprietario-litoral-2026.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/alugar-imovel-temporada-guia-proprietario-litoral-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/alugar-imovel-temporada-verao-2026.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/alugar-imovel-temporada-verao-2026.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/alugar-imovel-temporada-verao-2026.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/alugar-imovel-temporada-verao-2026.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/alugar-imovel-temporada-verao-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/alugar-ou-comprar-imovel-litoral-decisao-2026.html,../rentabilidade-imoveis-praia-roi-cidade-litoral-2026.html,interno_relativo,blog/rentabilidade-imoveis-praia-roi-cidade-litoral-2026.html,ALTA,slug existe em blog/rentabilidade-imoveis-praia-roi-cidade-litoral-2026.html,corrigir_caminho
blog/alugar-ou-comprar-imovel-litoral-decisao-2026.html,../guia-investidor-imovel-litoral.html,interno_relativo,guia-investidor-imovel-litoral.html,ALTA,destino existe,manter
blog/alugar-ou-comprar-imovel-litoral-decisao-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/alugar-temporada-barato-litoral-paulista-2026.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/alugar-temporada-barato-litoral-paulista-2026.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/alugar-temporada-barato-litoral-paulista-2026.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/alugar-temporada-barato-litoral-paulista-2026.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/alugar-temporada-barato-litoral-paulista-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/alugar-vender-imovel-litoral-2026.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/alugar-vender-imovel-litoral-2026.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/alugar-vender-imovel-litoral-2026.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/alugar-vender-imovel-litoral-2026.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/alugar-vender-imovel-litoral-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/aluguel-por-temporada-dicas-proprietarios-2026.html,../cases/case-imobiliaria-porto-da-lua-35-leads-2026.html,interno_relativo,cases/case-imobiliaria-porto-da-lua-35-leads-2026.html,ALTA,destino existe,manter
blog/aluguel-por-temporada-dicas-proprietarios-2026.html,../seo-local-imobiliaria-litoral-passo-a-passo-2026-08-11.html,interno_relativo,blog/seo-local-imobiliaria-litoral-passo-a-passo-2026-08-11.html,ALTA,slug existe em blog/seo-local-imobiliaria-litoral-passo-a-passo-2026-08-11.html,corrigir_caminho
blog/aluguel-por-temporada-dicas-proprietarios-2026.html,../captacao-imoveis-sem-anuncios-pagos-corretores-litoral-2026.html,interno_relativo,blog/captacao-imoveis-sem-anuncios-pagos-corretores-litoral-2026.html,ALTA,slug existe em blog/captacao-imoveis-sem-anuncios-pagos-corretores-litoral-2026.html,corrigir_caminho
blog/aluguel-por-temporada-dicas-proprietarios-2026.html,../aluguel-por-temporada-dicas-proprietarios-2026.html,interno_relativo,blog/aluguel-por-temporada-dicas-proprietarios-2026.html,ALTA,slug existe em blog/aluguel-por-temporada-dicas-proprietarios-2026.html,corrigir_caminho
blog/aluguel-por-temporada-dicas-proprietarios-2026.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/aluguel-por-temporada-dicas-proprietarios-2026.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/aluguel-por-temporada-dicas-proprietarios-2026.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/aluguel-por-temporada-dicas-proprietarios-2026.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/aluguel-por-temporada-dicas-proprietarios-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/aluguel-temporada-bertioga.html,/,interno_absoluto,,BAIXA,destino não encontrado,revisar_manual
blog/aluguel-temporada-bertioga.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/aluguel-temporada-bertioga.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/aluguel-temporada-bertioga.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/aluguel-temporada-bertioga.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/aluguel-temporada-bertioga.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/aluguel-temporada-casa-vs-apartamento-litoral-2026.html,../checklist-aluguel-temporada-anuncio-checkout-litoral-2026.html,interno_relativo,blog/checklist-aluguel-temporada-anuncio-checkout-litoral-2026.html,ALTA,slug existe em blog/checklist-aluguel-temporada-anuncio-checkout-litoral-2026.html,corrigir_caminho
blog/aluguel-temporada-checkin-checkout-2026.html,../gestao-aluguel-temporada-iniciantes-passo-passo-litoral-2026.html,interno_relativo,blog/gestao-aluguel-temporada-iniciantes-passo-passo-litoral-2026.html,ALTA,slug existe em blog/gestao-aluguel-temporada-iniciantes-passo-passo-litoral-2026.html,corrigir_caminho
blog/aluguel-temporada-conformidade-fiscal-tributaria-proprietarios-litoral-2026.html,../documentacao-aluguel-temporada-litoral-contrato-registro-seguro-2026.html,interno_relativo,blog/documentacao-aluguel-temporada-litoral-contrato-registro-seguro-2026.html,ALTA,slug existe em blog/documentacao-aluguel-temporada-litoral-contrato-registro-seguro-2026.html,corrigir_caminho
blog/aluguel-temporada-definir-preco-disponibilidade-sem-conflitos-litoral-2026.html,../estrategia-preco-dinamico-temporada-litoral-2026.html,interno_relativo,blog/estrategia-preco-dinamico-temporada-litoral-2026.html,ALTA,slug existe em blog/estrategia-preco-dinamico-temporada-litoral-2026.html,corrigir_caminho
blog/aluguel-temporada-honorarios-corretor-como-calcular-2026.html,../captacao-indicacao-clientes-imobiliaria-litoral-2026.html,interno_relativo,blog/captacao-indicacao-clientes-imobiliaria-litoral-2026.html,ALTA,slug existe em blog/captacao-indicacao-clientes-imobiliaria-litoral-2026.html,corrigir_caminho
blog/aluguel-temporada-ia-litoral.html,/,interno_absoluto,,BAIXA,destino não encontrado,revisar_manual
blog/aluguel-temporada-ia-litoral.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/aluguel-temporada-ia-litoral.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/aluguel-temporada-ia-litoral.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/aluguel-temporada-ia-litoral.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/aluguel-temporada-ia-litoral.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/aluguel-temporada-imoveis-luxo-litoral-2026.html,gestao-temporada-imoveis-luxo-litoral-2026.html,interno_relativo,blog/gestao-temporada-imoveis-luxo-litoral-2026.html,ALTA,destino existe,manter
blog/aluguel-temporada-imoveis-luxo-litoral-2026.html,avaliacao-imoveis-luxo-litoral-2026.html,interno_relativo,blog/avaliacao-imoveis-luxo-litoral-2026.html,ALTA,destino existe,manter
blog/aluguel-temporada-imoveis-luxo-litoral-2026.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/aluguel-temporada-imoveis-luxo-litoral-2026.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/aluguel-temporada-imoveis-luxo-litoral-2026.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/aluguel-temporada-imoveis-luxo-litoral-2026.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/aluguel-temporada-imoveis-luxo-litoral-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/aluguel-temporada-legalidade-documentos-2026.html,../documentacao-aluguel-temporada-litoral-contrato-registro-seguro-2026.html,interno_relativo,blog/documentacao-aluguel-temporada-litoral-contrato-registro-seguro-2026.html,ALTA,slug existe em blog/documentacao-aluguel-temporada-litoral-contrato-registro-seguro-2026.html,corrigir_caminho
blog/aluguel-temporada-litoral-acordo-multa-dano-reserva-2026.html,../aluguel-temporada-litoral-multa-rescisao-contrato-2026.html,interno_relativo,blog/aluguel-temporada-litoral-multa-rescisao-contrato-2026.html,ALTA,slug existe em blog/aluguel-temporada-litoral-multa-rescisao-contrato-2026.html,corrigir_caminho
blog/aluguel-temporada-litoral-calendario-reservas-organizacao-2026.html,../aluguel-temporada-litoral-reserva-cancelamento-2026.html,interno_relativo,blog/aluguel-temporada-litoral-reserva-cancelamento-2026.html,ALTA,slug existe em blog/aluguel-temporada-litoral-reserva-cancelamento-2026.html,corrigir_caminho
blog/aluguel-temporada-litoral-calor-casa-dicas-2026.html,../imovel-litoral-conforto-termico-clima-umido-2026.html,interno_relativo,,BAIXA,destino não encontrado,revisar_manual
blog/aluguel-temporada-litoral-cancelamento-flexivel-comunicacao-2026.html,../aluguel-temporada-litoral-reserva-cancelamento-2026.html,interno_relativo,blog/aluguel-temporada-litoral-reserva-cancelamento-2026.html,ALTA,slug existe em blog/aluguel-temporada-litoral-reserva-cancelamento-2026.html,corrigir_caminho
blog/aluguel-temporada-litoral-cancelamento-flexivel-penalidade-2026.html,../aluguel-temporada-litoral-reserva-cancelamento-2026.html,interno_relativo,blog/aluguel-temporada-litoral-reserva-cancelamento-2026.html,ALTA,slug existe em blog/aluguel-temporada-litoral-reserva-cancelamento-2026.html,corrigir_caminho
blog/aluguel-temporada-litoral-cancelamento-flexivel-rapido-2026.html,../aluguel-temporada-litoral-reserva-cancelamento-2026.html,interno_relativo,blog/aluguel-temporada-litoral-reserva-cancelamento-2026.html,ALTA,slug existe em blog/aluguel-temporada-litoral-reserva-cancelamento-2026.html,corrigir_caminho
blog/aluguel-temporada-litoral-cancelamento-flexivel-reembolso-2026.html,../aluguel-temporada-litoral-reserva-cancelamento-2026.html,interno_relativo,blog/aluguel-temporada-litoral-reserva-cancelamento-2026.html,ALTA,slug existe em blog/aluguel-temporada-litoral-reserva-cancelamento-2026.html,corrigir_caminho
